travel_order_sentence,start,end,middle
Pour se diriger à Pontrieux je dois impérativement traverser Beauvais Créteil-Pompadour je voulais dire et je débute à Montigny-Beauchamp,Montigny-Beauchamp,Pontrieux,Créteil-Pompadour
Avec la pluie je préfère passer par St michel de double pour aller de Millencourt à Verneusses,Millencourt,Verneusses,St michel de double
Je veux voyager de Bazoches à Argelès-sur-Mer mais je dois impérativement d'abord voyager à St-Quentin-en-Yvelines,Bazoches,Argelès-sur-Mer,St-Quentin-en-Yvelines
Si je suis à Rue de Castellane et que je dois aller jusqu'a Rue de Lorraine tu peux me faire passer par Rue Gros c'est important,Rue de Castellane,Rue de Lorraine,Rue Gros
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Virville-Manneville j'habite pas loin de Les Saules et je dois pas aller à Régny mais à côté à Tagolsheim,Les Saules,Tagolsheim,
St-Jean-de-Luz-Ciboure à St-Médard-d'Eyrans Hannon Metz-Ville à Gannes,Metz-Ville,Gannes,
Permet moi de me rendre de Place Joachim du Bellay à Rue des Immeubles Industriels en passant par Esplanade Jacques Chaban-Delmas,Place Joachim du Bellay,Rue des Immeubles Industriels,Esplanade Jacques Chaban-Delmas
Je dois aller à Gannes de St-Georges-de-Commiers,St-Georges-de-Commiers,Gannes,
Meximieux-Pérouges arrêt Le Dramont fin Marseille-St-Charles,Meximieux-Pérouges,Marseille-St-Charles,Le Dramont
Je vais à Rue de Lorraine en prenant le chemin qui passe par Square de Robiac,,Rue de Lorraine,Square de Robiac
Je pensais aller Place Pierre Vaudrey mais en fait je pars de Rue de la Mire je récupère un truc à Rue Rotrou puis direction Rue Ponscarme,Rue de la Mire,Rue Ponscarme,Rue Rotrou
Je suis à St-Astier et je veux me rendre à Meulan-Hardricourt ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Lérouville et je dois passer par Vinay par contre je suis vraiment à Le Monastier,Le Monastier,Lérouville,Vinay
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Place Maurice Audin j'habite pas loin de Rue Bernard Tétu et je dois pas aller à Rue Alfred Dehodencq mais à côté à Rue Giffard,Rue Bernard Tétu,Rue Giffard,
Chateau gaillard vers Eaux bonnes Montezic plutôt,Chateau gaillard,Montezic,
Je pars de Bailleul-Sir-Berthoult pour aller à Bibliothèque-François-Mitterrand,Bailleul-Sir-Berthoult,Bibliothèque-François-Mitterrand,
Je dois aller à Douzies,,Douzies,
Je dois rejoindre Chemin des Pépinières je suis Place Jean Monnet,Place Jean Monnet,Chemin des Pépinières,
Je dois voyager à Les Abrets-Fitilieu ah non je voulais dire St-Varent pardon et je suis à Lourdes là,Lourdes,St-Varent,
Je dois voyager à Lau balagnas Hannon je voulais dire Sauville pardon et je suis à Les riceys là,Les riceys,Sauville,
Pas Peillon-Ste-Thècle plutôt de Conflans-Ste-Honorine à Lille CHR ou plutôt Tagolsheim,Conflans-Ste-Honorine,Tagolsheim,
Comment se rendre à Lille CHR en partant de Vouziers,Vouziers,Lille CHR,
Si je suis à St gervais les bains et que je dois aller jusqu'a Segos tu peux me faire passer par Morlhon le haut c'est important,St gervais les bains,Segos,Morlhon le haut
Pensais partir Vaux sur seine mais en fait je me lance de Abeilhan je récupère un truc à Ciron puis Baslieux,Abeilhan,Baslieux,Ciron
Pour aller de Cité Leclaire à Villa Santos-Dumont je dois d'abord passer par Cours de Vincennes,Cité Leclaire,Villa Santos-Dumont,Cours de Vincennes
Royaucourt depuis Beaucourt en santerre,Beaucourt en santerre,Royaucourt,
On part de Abeilhan on s'arrête en face de Vieux manoir puis direction Isques ok,Abeilhan,Isques,Vieux manoir
Écommoy direct apres Rouxmesnil depart Wimille-Wimereux,Wimille-Wimereux,Écommoy,Rouxmesnil
On part de Thun l eveque on s'arrête en face de Duneau puis Trezeny,Thun l eveque,Trezeny,Duneau
Un trajet de Rue Marietta Alboni vers Rue Notre-Dame des Victoires s'il te plaît,Rue Marietta Alboni,Rue Notre-Dame des Victoires,
Comment rejoindre Donjeux depuis Graffenwald,Graffenwald,Donjeux,
Je part de Rue Nationale vers Rue des Prêtres Saint-Germain l'Auxerrois et Rue de Lorraine,Rue Nationale,Rue de Lorraine,Rue des Prêtres Saint-Germain l'Auxerrois
Faut que je parte de Etevaux pour aller à Wattignies la victoire,Etevaux,Wattignies la victoire,
De Rue Nationale jusque Villa Santos-Dumont en passant Voie Br/18,Rue Nationale,Villa Santos-Dumont,Voie Br/18
Hier c'était Survilliers-Fosses aujourd'hui c'est Chambly escale Vitry-sur-Seine terminus Isbergues,Chambly,Isbergues,Vitry-sur-Seine
Besoin d'un chauffeur départ Rue de l'Abbé Rousselot arrêt obligatoire à Rue du Colonel Dominé arrivée finale Villa Santos-Dumont,Rue de l'Abbé Rousselot,Villa Santos-Dumont,Rue du Colonel Dominé
Je vais à Marmont pachas en prenant le chemin qui passe par Cuttoli corticchiato,,Marmont pachas,Cuttoli corticchiato
Comment faire pour aller de St maximin la ste baume à Blequin en passant par St bonnet de cray,St maximin la ste baume,Blequin,St bonnet de cray
Porte Saint-James direct apres Rue de Saint-Marceaux depart Rue du Père Corentin,Rue du Père Corentin,Porte Saint-James,Rue de Saint-Marceaux
Le magasin de Rue Pernelle est fermé du coup je dois partir de Rue de Palestine m'arrêter à Voie Aw/17 pour aller à Rue René Boulanger,Rue de Palestine,Rue René Boulanger,Voie Aw/17
Surmont Sorrus je fais comment,Surmont,Sorrus,
Oublie Villa des Tulipes calcule Rue Miguel Hidalgo Villa Santos-Dumont par Rue Dussoubs,Rue Miguel Hidalgo,Villa Santos-Dumont,Rue Dussoubs
De Ceton à Le crotoy avec un crochet à Lasclaveries avant je voulais voyager à Puxieux mais finalement je ne vais pas y voyager,Ceton,Le crotoy,Lasclaveries
J'ai une course à faire Thurins est sur mon trajet de Notre dame du parc à St etienne de tinee,Notre dame du parc,St etienne de tinee,Thurins
Comment aller à Pérenchies,,Pérenchies,
Je veux me rendre à Mignaloux-Nouaillé en passant par Villefranche-sur-Cher alors que je suis actuellement à Mazières-Verruyes,Mazières-Verruyes,Mignaloux-Nouaillé,Villefranche-sur-Cher
Comment aller de Baliros à Val des pres,Baliros,Val des pres,
Pour me rendre à Cité Hittorf je dois passer par Rue des Frères d'Astier de la Vigerie en partant de Rue Fantin Latour Rue Quincampoix,Rue Quincampoix,Cité Hittorf,Rue des Frères d'Astier de la Vigerie
Depuis Bilieu je vais comment à Epargnes,Bilieu,Epargnes,
Bulson Royaucourt,Bulson,Royaucourt,
Pas par Impasse Letort direct de Avenue des Peupliers vers Pont au Double,Avenue des Peupliers,Pont au Double,
Faut passer à Voie Ah/20 entre Rue de la Mire et Square Claude Debussy pour récup un truc,Rue de la Mire,Square Claude Debussy,Voie Ah/20
Je veux voyager Cité du Sacré-Coeur mais pas directement d'abord je me lance de Rue Jules Pichard et je dois impérativement passer par Rue José-Maria de Hérédia,Rue Jules Pichard,Cité du Sacré-Coeur,Rue José-Maria de Hérédia
Aller à Rue du Cardinal Dubois en empruntant le chemin de Rue de Vichy Rue Antoine Vollon en partant de Rue du Commandeur,Rue du Commandeur,Rue du Cardinal Dubois,Rue Antoine Vollon
Je dois voyager à Rosporden ah non je voulais dire Berganty pardon et je suis à Les riceys là,Les riceys,Berganty,
Le magasin de Mont-Notre-Dame est fermé du coup je dois partir de Argelès-sur-Mer m'arrêter à Belleville-Vendée pour aller à Watten-Éperlecques,Argelès-sur-Mer,Watten-Éperlecques,Belleville-Vendée
On va à Collias Laval en belledonne et on part de Coteaux du blanzacais,Coteaux du blanzacais,Laval en belledonne,
J'habite à Previllers je dois aller à Ste foy la longue mais je dois passer par Mondavezan en partant de Abeilhan,Abeilhan,Ste foy la longue,Mondavezan
J'habite à Halsou-Larressore je dois aller à Villereversure mais je dois passer par Tournes en partant de Maule,Maule,Villereversure,Tournes
Je veux plus aller à Rue Androuet maintenant je veux aller à Rue Rouget de l'Isle avec un detour à Rue Boyer-Barret en allant de Rue Gay-Lussac,Rue Gay-Lussac,Rue Rouget de l'Isle,Rue Boyer-Barret
Si je suis à Rue de l'Elysée et que je dois aller jusqu'a Rue Miguel Hidalgo tu peux me faire passer par Rue de Montfaucon c'est important,Rue de l'Elysée,Rue Miguel Hidalgo,Rue de Montfaucon
Je vis à Rue Neuve Popincourt je cherche à partir de la ville la plus proche qui est Rue des Immeubles Industriels pour voyager à Cité du Sacré-Coeur mais je désirerais passer par Chemin des Pépinières pour voir ma famille,Rue des Immeubles Industriels,Cité du Sacré-Coeur,Chemin des Pépinières
On part de Guiseniers on s'arrête en face de Ville di paraso puis direction St etienne de puycorbier ok,Guiseniers,St etienne de puycorbier,Ville di paraso
Route de Phalempin pour Bourg-St-Maurice,Phalempin,Bourg-St-Maurice,
Passe par Valorbiquet entre St maximin la ste baume et Oissel,St maximin la ste baume,Oissel,Valorbiquet
Je suis près de Barentin-Embranchement à côté du supermarché je dois impérativement passer à la pharmacie de Donjeux avant d'me rendre à Seurre,Barentin-Embranchement,Seurre,Donjeux
J'aimerais aller devant Retiers et là je pars de chez moi à Metz-Ville,Metz-Ville,Retiers,
Je dois voyager à Falaise ah non je voulais dire Loupiac de la reole pardon et je suis à Lebetain là,Lebetain,Loupiac de la reole,
Il neige à Saujon du coup je me lance de Le Monastier arrêt à Pont-à-Mousson destination Écommoy,Le Monastier,Écommoy,Pont-à-Mousson
Pour arriver à St priest la roche je dois partir de Conquereuil non de Planioles,Planioles,St priest la roche,
Position actuelle Avenue des Pavillons direction Rue d'Olivet ah non je voulais dire Rue Notre-Dame de Recouvrance,Avenue des Pavillons,Rue Notre-Dame de Recouvrance,
Mon GPS indique Rue François Millet mais je veux aller de Rue de l'Evangile à Rue de Florence Boulevard Lannes pardon,Rue de l'Evangile,Boulevard Lannes,
Je dois passer au travail situé à Hoenheim-Tram pour rejoindre mon appartement à Lérouville et je suis actuellement à Beuvrages,Beuvrages,Lérouville,Hoenheim-Tram
Passe par Clamecy entre Beuvrages et Xertigny,Beuvrages,Xertigny,Clamecy
Je dois être à Rue Saint-Germain l'Auxerrois je suis à Avenue Edouard Vaillant,Avenue Edouard Vaillant,Rue Saint-Germain l'Auxerrois,
Je dois passer au travail situé à Mouzon pour rejoindre mon appartement à Péronne-la-Chapelette et je suis actuellement à Fourchambault,Fourchambault,Péronne-la-Chapelette,Mouzon
Je veux me rendre à Argelès-sur-Mer en passant par Vougeot-Gilly-lès-Cîteaux alors que je suis actuellement à Fourchambault,Fourchambault,Argelès-sur-Mer,Vougeot-Gilly-lès-Cîteaux
Guide-moi de Porchefontaine à Pont-Cardinet,Porchefontaine,Pont-Cardinet,
Je veux aller de Petit couronne à Pepieux,Petit couronne,Pepieux,
Je vais à Guincourt et là j'étais à Freycenet la tour mais maintenant je suis à Esperce,Esperce,Guincourt,
Faut aller où pour faire Passage Savart Impasse de Joinville,Passage Savart,Impasse de Joinville,
Bulson vers Villiers en biere non Douvres,Bulson,Douvres,
Je dois aller à Montrecourt,,Montrecourt,
Tu m'indiques Voie Co/12 Rue de Tolbiac,Voie Co/12,Rue de Tolbiac,
Je pars de Quai Saint-Bernard pour aller à Impasse de Joinville,Quai Saint-Bernard,Impasse de Joinville,
Je suis perdu entre Rue de l'Abbé Groult et Quai François Mitterrand je veux juste Avenue Edouard Vaillant Allée Marius Barroux,Avenue Edouard Vaillant,Allée Marius Barroux,
Je dois rejoindre Etevaux je pars de Surmont,Surmont,Etevaux,
Allons à Epernay en partant de Moyeuvre-Grande mais avant ça je veux aller à Lille-Sud,Moyeuvre-Grande,Epernay,Lille-Sud
Je dois rejoindre Châteaulin je suis Metz-Ville,Metz-Ville,Châteaulin,
Mon ami m'attendait à Meillant mais finalement il sera à Vittarville sur ma route de Montsauche les settons à Abeilhan,Montsauche les settons,Abeilhan,Vittarville
J'ai un parcours un peu particulier Marolles-en-Hurepoix pour commencer Cercy-la-Tour au milieu et Watten-Éperlecques pour terminer,Marolles-en-Hurepoix,Watten-Éperlecques,Cercy-la-Tour
Pour me rendre à Chateau rouge je dois passer par Montbray en partant de La capelle et masmolene Valleroy,Valleroy,Chateau rouge,Montbray
Je vis à Brion-Laizy je cherche à partir de la ville la plus proche qui est Meudon-Val-Fleury pour aller à St-Fons mais je souhaiterais passer par Villefranche-Vernet-les-Bains pour voir ma famille,Meudon-Val-Fleury,St-Fons,Villefranche-Vernet-les-Bains
Je veux aller de St-Varent à Frynaudour,St-Varent,Frynaudour,
Je dois passer par Passage de l'Yonne pour aller à Rue Lécuyer en partant de Place Georges Berry,Place Georges Berry,Rue Lécuyer,Passage de l'Yonne
J'hésite entre Rognac et St-Michel-Notre-Dame non en fait Mormant direction Douzies,Mormant,Douzies,
Tu me disais Avignon-Centre hier La Tour-du-Pin ce matin mais là je veux juste aller de Igny à Domène,Igny,Domène,
Comment aller de Avenue des Pavillons jusqu'à Rue de Monbel,Avenue des Pavillons,Rue de Monbel,
La fête à Pechs de l esperance est annulé je pars de Hohrod pour rejoindre Riscle,Hohrod,Riscle,
Annule le passage par Ornaisons nouveau trajet début Brugny vaudancourt escale Lauraet fin Laneuville au pont,Brugny vaudancourt,Laneuville au pont,Lauraet
Trace-moi Servon melzicourt Chainaz les frasses,Servon melzicourt,Chainaz les frasses,
Permet moi de me rendre de Uzel pres l oust à Oberdorff en passant par Meyzieu,Uzel pres l oust,Oberdorff,Meyzieu
Comment puis-je aller à Rue de Montevideo de Avenue de la Grande Armée par Rue Auguste Vacquerie,Avenue de la Grande Armée,Rue de Montevideo,Rue Auguste Vacquerie
Comment faire pour aller de Rue du Père Corentin à Rue du Cardinal Dubois en passant par Avenue de Clichy,Rue du Père Corentin,Rue du Cardinal Dubois,Avenue de Clichy
Je souhaite partir de Impasse de Casteggio pour aller à Voie Co/16 ah non en fait je souhaite aller à Villa Poissonnière depuis Rue Mendelssohn ah merde ça vient de changer et je souhaite aller à Rue de Tahiti depuis Rue Malte Brun,Rue Malte Brun,Rue de Tahiti,
On part de Aspin en lavedan on s'arrête en face de La chapelle sous uchon puis Armix,Aspin en lavedan,Armix,La chapelle sous uchon
Mon GPS indique Feuquières-Fressenneville mais je veux aller de Gannes à Sézanne Cordemais pardon,Gannes,Cordemais,
Je dois rejoindre Rue des Gâtines je pars de Pont au Double,Pont au Double,Rue des Gâtines,
Allons à la Millencourt en partant de La chapelle hareng mais avant ça je veux aller à Villeneuve de riviere,La chapelle hareng,Millencourt,Villeneuve de riviere
Annule le passage par Moosch nouveau trajet début Pont-de-Claix escale Touët-de-l'Escarène fin St-Fons,Pont-de-Claix,St-Fons,Touët-de-l'Escarène
Un trajet de Impasse des Trois Soeurs vers Quai d'Orsay s'il te plaît,Impasse des Trois Soeurs,Quai d'Orsay,
Je dois voyager à Treverec ah non je voulais dire Chatte pardon et je suis à Montezic là,Montezic,Chatte,
Passe par Bransat entre Blequin et La cabanasse,Blequin,La cabanasse,Bransat
Commence Pins-Justaret continue Vannes termine Pignans,Pins-Justaret,Pignans,Vannes
Voie Co/12 le point de départ est Rue Henry de Bournazel,Rue Henry de Bournazel,Voie Co/12,
Il neige à Val de chalvagne du coup je pars de St gervais les bains arrêt à Aillon le vieux destination Brugny vaudancourt,St gervais les bains,Brugny vaudancourt,Aillon le vieux
Je veux aller de Maule jusqu'à Écommoy mais pas directement faut que je fasse un arrêt à Versailles-Chantiers,Maule,Écommoy,Versailles-Chantiers
Je veux voyager Villa Industrielle mais pas directement d'abord je me lance de Voie Gc/13 et je dois impérativement passer par Passage Saint-Jules,Voie Gc/13,Villa Industrielle,Passage Saint-Jules
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Fregimont j'habite pas loin de Quercitello et je dois pas aller à St aubin sur gaillon mais à côté à Douvres,Quercitello,Douvres,
Trace-moi Voie Co/12 Boulevard de Denain,Voie Co/12,Boulevard de Denain,
J'aimerais aller de Marolles-en-Hurepoix à Vendôme-Villiers-sur-Loir ah non St-Aubin (Jura) en passant par Feuquerolles,Marolles-en-Hurepoix,St-Aubin (Jura),Feuquerolles
Riscle depuis Quercitello,Quercitello,Riscle,
Je pensais aller La Jonchère mais en fait je pars de Villabé je récupère un truc à Étaples-Le Touquet puis direction Ste-Gauburge,Villabé,Ste-Gauburge,Étaples-Le Touquet
Il neige à La batie vieille du coup je me lance de Poinson les fayl arrêt à Lignol le chateau destination Ceton,Poinson les fayl,Ceton,Lignol le chateau
De Provins jusque St-Fons en passant Les Aubrais-Orléans,Provins,St-Fons,Les Aubrais-Orléans
Je dois rejoindre Avenue des Pavillons je pars de Rue Bernard Tétu,Rue Bernard Tétu,Avenue des Pavillons,
Y'a moyen de faire un Rue Bosquet Rue de Palestine en passant par Promenade Florence Arthaud,Rue Bosquet,Rue de Palestine,Promenade Florence Arthaud
De Voie Fd/20 à Avenue Edouard Vaillant Avenue des Arts et Villa d'Orléans sont barrés,Voie Fd/20,Avenue Edouard Vaillant,
Faut aller où pour faire Surmont Bulson,Surmont,Bulson,
Il neige à Guerande du coup je pars de St maximin la ste baume arrêt à Travaillan destination Fallon,St maximin la ste baume,Fallon,Travaillan
Je dois être Passage de la Tour de Vanves rapidement je suis Impasse des Trois Soeurs,Impasse des Trois Soeurs,Passage de la Tour de Vanves,
J'ai une course à faire Impasse du Quarante-Neuf Faubourg Saint-Martin est sur mon trajet de Rue de la Mire à Rue Nationale,Rue de la Mire,Rue Nationale,Impasse du Quarante-Neuf Faubourg Saint-Martin
Trop de bouchons vers Hameau la Fontaine je fais je prends Rue Marietta Alboni Voie Bh/17,Rue Marietta Alboni,Voie Bh/17,
Je veux me rendre chez mon ami qui habite à Souterrain Berger Est en partant de Rue Gay-Lussac mais avant je vais à Villa du Parc de Montsouris,Rue Gay-Lussac,Souterrain Berger Est,Villa du Parc de Montsouris
Position actuelle Bourg-St-Maurice direction Abancourt Hannon je voulais dire Bouray,Bourg-St-Maurice,Bouray,
Aller à Andance en empruntant le chemin de Pontorson Comps en partant de Isques,Isques,Andance,Comps
Je pars de Jussey je vais comment à Meulan-Hardricourt,Jussey,Meulan-Hardricourt,
De Pins-Justaret jusque Watten-Éperlecques en passant Somain,Pins-Justaret,Watten-Éperlecques,Somain
J'ai besoin d'un itinéraire Alors on va dire départ Souterrain Berger Est arrivée Rue Armand Carrel ah non non Rue de l'Abbé Rousselot pardon mais faut passer par Rue Armand Carrel,Souterrain Berger Est,Rue de l'Abbé Rousselot,Rue Armand Carrel
Je dois aller à Avenue de la Bourdonnais,,Avenue de la Bourdonnais,
calcule-moi un itinéraire de Rue des Dames attends avec un arrêt à Rue Saint-Amand pour aller à Rue René Boulanger,Rue des Dames,Rue René Boulanger,Rue Saint-Amand
Pour aller à Passage Bourgoin je dois traverser Rue Annie Girardot Rue de la Faisanderie je voulais dire et je débute à Voie Cd/20,Voie Cd/20,Passage Bourgoin,Rue de la Faisanderie
Boree par Sancy ah non Uzel pres l oust par Chateau arnoux st auban pour St etienne de puycorbier,Uzel pres l oust,St etienne de puycorbier,Chateau arnoux st auban
Je veux aller à Rue Augereau Cité du Sacré-Coeur en passant par Rue Léon Lhermitte en partant de Rue de l'Abbé Rousselot,Rue de l'Abbé Rousselot,Cité du Sacré-Coeur,Rue Léon Lhermitte
Il me faut un itinéraire St-Cyr Metz-Ville,St-Cyr,Metz-Ville,
Je veux aller à Saugues Trezeny en passant par Bazoches sur guyonne en partant de Verneusses,Verneusses,Trezeny,Bazoches sur guyonne
Voie Ar/16 Hannon de Avenue Anatole France vers Boulevard Lannes,Avenue Anatole France,Boulevard Lannes,
Calcule-moi Boulevard de Port-Royal passe par Rue Emile Deslandres fini à Rue du Général Archinard vite,Boulevard de Port-Royal,Rue du Général Archinard,Rue Emile Deslandres
Avenue de la Grande Armée Rue Miguel Hidalgo en suivant le chemin de Rue Muller,Avenue de la Grande Armée,Rue Miguel Hidalgo,Rue Muller
Calcul d'itinéraire Rue Albin Haller vers Voie Cg/15,Rue Albin Haller,Voie Cg/15,
Je voudrais aller à Rue Jules Dumien Voie Fd/20 plutôt et je partirai de Place Jean Monnet,Place Jean Monnet,Voie Fd/20,
C'est possible de calculer ça je suis devant Ebersheim je dois récupérer un colis qui se trouve dans Louhans pour l'apporter à Sérifontaine,Ebersheim,Sérifontaine,Louhans
Je suis près de St maximin la ste baume à côté du supermarché je dois passer à la pharmacie de Loctudy avant d'aller à Ste mere,St maximin la ste baume,Ste mere,Loctudy
Pour arriver à Châteaulin je dois partir de Blainville-Damelevières non de Menton-Garavan,Menton-Garavan,Châteaulin,
Donjeux en partant à Bas-Évette non à Les Saules je mélange,Les Saules,Donjeux,
Non pas Place Suzanne Denglos-Fau je voulais dire Rue de l'Elysée puis Passage Courtois enfin Rue des Dames,Rue de l'Elysée,Rue des Dames,Passage Courtois
Vas-y on bouge de Frehel direct Val des pres,Frehel,Val des pres,
Trop de bouchons vers Rue Beaunier je fais je prends Rue de la Jussienne Rue des Gâtines,Rue de la Jussienne,Rue des Gâtines,
Calcule-moi Cité Leclaire passe par Rue d'Olivet fini à Rue de Montevideo vite,Cité Leclaire,Rue de Montevideo,Rue d'Olivet
Je suis à Rue Fanny à Rue des Grands Augustins et je dois aller pas à Rue Noël Ballay mais à Cour Jacques Viguès,Rue des Grands Augustins,Cour Jacques Viguès,
Calcule-moi Oissel passe par Marange silvange fini à Balesta vite,Oissel,Balesta,Marange silvange
Trouve-moi une route je suis actuellement à Ste mere ah oui et avant d'arriver à St etienne de puycorbier je dois absolument faire un stop à Valloire,Ste mere,St etienne de puycorbier,Valloire
Annule le passage par St leger de peyre nouveau trajet début Mezerolles escale Renty fin Chateau rouge,Mezerolles,Chateau rouge,Renty
On part de Rue du Chalet on s'arrête en face de Voie Ad/18 puis direction Rue du Soleil,Rue du Chalet,Rue du Soleil,Voie Ad/18
Voyons voir Place Saint-Ferdinand nom de Voie Cp/12 à Voie Cg/15,Voie Cp/12,Voie Cg/15,
Calcule un itinéraire mais pas direct je veux partir de Varetz ensuite St-Omer et pour finir Lérouville,Varetz,Lérouville,St-Omer
Veux me rendre chez mon ami qui habite à Cuissai en partant de St etienne de tinee mais avant je me rends à Vieux pont,St etienne de tinee,Cuissai,Vieux pont
Parti de Jussey à Milhac-d'Auberoche mince à Cordemais plutôt,Jussey,Cordemais,
Je veux voyager May sur orne mais pas directement d'abord je me lance de Montsauche les settons et je dois impérativement passer par Sanssat,Montsauche les settons,May sur orne,Sanssat
Emmène-moi à Avenue de la Bourdonnais là je suis à Place Baudoyer,Place Baudoyer,Avenue de la Bourdonnais,
Je vis à Ruhans je cherche à partir de la ville la plus proche qui est Espedaillac pour aller à Isques mais je souhaiterais passer par Le bois hellain pour voir ma famille,Espedaillac,Isques,Le bois hellain
Chaudardes à Planioles c’est où,Chaudardes,Planioles,
À Bar-sur-Aube j'ai besoin de d'abord passer par Maisse,,Bar-sur-Aube,Maisse
La fête à Darsac est annulé je pars de Porchefontaine pour rejoindre Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),Porchefontaine,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
Comment de Place Baudoyer à Impasse de Joinville,Place Baudoyer,Impasse de Joinville,
Le GPS Bugge à Pleaux direction Grainville sur odon Royaucourt,Grainville sur odon,Royaucourt,
Je vais à Remereville et là j'étais à Le frasnois mais maintenant je suis à Evillers,Evillers,Remereville,
Pour aller à Ceton je dois traverser Charrey sur saone Giroussens je voulais dire et je débute à Virieu le grand,Virieu le grand,Ceton,Giroussens
Je dois rejoindre Chainaz les frasses je suis Wattignies la victoire,Wattignies la victoire,Chainaz les frasses,
Je dois poser quelque chose à Rue du Général Baratier entre Place de Barcelone et Rue Coysevox,Place de Barcelone,Rue Coysevox,Rue du Général Baratier
J'ai fait Place Bilal Berenni ce matin Rue Casimir Delavigne à midi maintenant calcule-moi Quai Saint-Bernard vers Allée Adrienne Lecouvreur,Quai Saint-Bernard,Allée Adrienne Lecouvreur,
Faut que je parte de Passage de la Tour de Vanves pour aller à Rue Giffard,Passage de la Tour de Vanves,Rue Giffard,
Rendez-vous annulé à Rue du Parc de Montsouris je vais Boulevard de Denain à Avenue Edouard Vaillant,Boulevard de Denain,Avenue Edouard Vaillant,
J'ai besoin d'un itinéraire Alors on va dire départ Péronne-la-Chapelette arrivée Uchaud ah non non Epernay pardon mais faut passer par Uchaud,Péronne-la-Chapelette,Epernay,Uchaud
Tu m'indiques Conflans-Ste-Honorine Neuilly-sur-Marne,Conflans-Ste-Honorine,Neuilly-sur-Marne,
Oyonnax Bulson je fais quoi,Oyonnax,Bulson,
Je dois passer au travail situé à Melle pour rejoindre mon appartement à Peyrusse grande et je suis actuellement à Blequin,Blequin,Peyrusse grande,Melle
Trace-moi Esperce Beaucourt en santerre,Esperce,Beaucourt en santerre,
Chatte en partant à Mailly champagne non à Chateau gaillard je mélange,Chateau gaillard,Chatte,
Voie Bd/18 par Rue du Père Teilhard de Chardin Hannon Rue du Soleil par Rue Vauvilliers pour Rue Coysevox,Rue du Soleil,Rue Coysevox,Rue Vauvilliers
Mon ami m'attendait à Salonnes mais finalement il sera à Rosey sur ma route de Cuissai à Segos,Cuissai,Segos,Rosey
Mon planning a changé plus besoin d'aller vers Tourrette levens juste Cranves sales mais pas Peyssies direction Hohrod,Cranves sales,Hohrod,
Je dois me rendre chez ma mère là elle habite à Xertigny mais là je suis à Moyeuvre-Grande et avant ça j'ai besoin de passer devant un magasin qui est à Marlieux-Châtillon,Moyeuvre-Grande,Xertigny,Marlieux-Châtillon
Aller à St priest la roche,,St priest la roche,
Je commence à Voie Cd/15 je finis à Villa Nouvelle ah et j'oubliais faut que je passe par Voie Ce/12 entre les deux,Voie Cd/15,Villa Nouvelle,Voie Ce/12
Je veux aller de Epargnes à Quercitello,Epargnes,Quercitello,
Hey tu peux me déposer à Aulnay la riviere Ah et sur le chemin faut qu'on s'arrête à Varennes les narcy Je t'attends à St gervais les bains,St gervais les bains,Aulnay la riviere,Varennes les narcy
Hey tu peux me déposer à May sur orne ah et sur le chemin faut qu'on s'arrête à Vals pres le puy,,May sur orne,Vals pres le puy
Rue Hippolyte Lebas par Rue Jacques Destrée ah non Rue du Commandeur par Place des combattantes et combattants du sida pour Rue Nationale,Rue du Commandeur,Rue Nationale,Place des combattantes et combattants du sida
Voyons voir Cerdon non de Eaucourt sur somme jusqu'à Riscle,Eaucourt sur somme,Riscle,
C’est quoi le chemin pour aller de Avenue de la Bourdonnais à Rue de Tolbiac,Avenue de la Bourdonnais,Rue de Tolbiac,
Tu m'indiques Rue Malte Brun Rue de Villafranca,Rue Malte Brun,Rue de Villafranca,
Je dois passer à St-Brice-Courcelles pour me rendre Ste-Gauburge de Morcenx mais je préfère passer par Isbergues finalement,Morcenx,Ste-Gauburge,Isbergues
Valleroy en prenant le passage de Gap,,Valleroy,Gap
Allons à Baslieux en partant de Armix mais avant ça je veux aller à Gonfreville l orcher,Armix,Baslieux,Gonfreville l orcher
Je veux voyager de Beuvrages à Villabé mais je dois impérativement d'abord voyager à Boisset,Beuvrages,Villabé,Boisset
Je veux faire Lurcy St leger du malzieu,Lurcy,St leger du malzieu,
La cabanasse direct apres Brantes depart Oissel,Oissel,La cabanasse,Brantes
Passe par Place du Maréchal Juin entre Rue Lebouis et Boulevard de Port-Royal,Rue Lebouis,Boulevard de Port-Royal,Place du Maréchal Juin
Pas Gargenville je veux dire de Mormant pour aller Mériel et du coup je passe pas par Beauvais,Mormant,Mériel,
Je suis près de Le Monastier à côté du supermarché je dois impérativement passer à la pharmacie de Courzieu-Brussieu avant d'me rendre à Ste-Gauburge,Le Monastier,Ste-Gauburge,Courzieu-Brussieu
Passe par Promenade Florence Arthaud entre Place Joachim du Bellay et Cité du Sacré-Coeur,Place Joachim du Bellay,Cité du Sacré-Coeur,Promenade Florence Arthaud
